display_name,year,works_count,cited_by_count,city,longitude,latitude
"""Institute"" Energosetproject""",2012,5,0,Moscow,37.720196,55.78595
"""Institute"" Energosetproject""",2015,1,1,Moscow,37.720196,55.78595
"""Institute"" Energosetproject""",2016,0,4,Moscow,37.720196,55.78595
"""Institute"" Energosetproject""",2018,0,1,Moscow,37.720196,55.78595
"""Institute"" Energosetproject""",2020,6,2,Moscow,37.720196,55.78595
"""Institute"" Energosetproject""",2021,1,2,Moscow,37.720196,55.78595
"""Institute"" Energosetproject""",2022,0,1,Moscow,37.720196,55.78595
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2012,4,0,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2013,1,0,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2014,3,2,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2015,5,2,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2016,20,2,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2017,15,14,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2018,15,15,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2019,33,34,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2020,92,66,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2021,101,156,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2022,93,223,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2023,23,149,Moscow,37.57851,55.75338
"""VNIINM"" named after AA Bochvar",2012,44,252,Moscow,37.461613,55.794662
"""VNIINM"" named after AA Bochvar",2013,33,286,Moscow,37.461613,55.794662
"""VNIINM"" named after AA Bochvar",2014,48,360,Moscow,37.461613,55.794662
"""VNIINM"" named after AA Bochvar",2015,53,392,Moscow,37.461613,55.794662
"""VNIINM"" named after AA Bochvar",2016,57,463,Moscow,37.461613,55.794662
"""VNIINM"" named after AA Bochvar",2017,41,440,Moscow,37.461613,55.794662
"""VNIINM"" named after AA Bochvar",2018,51,455,Moscow,37.461613,55.794662
"""VNIINM"" named after AA Bochvar",2019,53,473,Moscow,37.461613,55.794662
