display_name,year,type,works_count,cited_by_count,city,longitude,latitude
"""Institute"" Energosetproject""",2012,facility,5,0,Moscow,37.720196,55.78595
"""Institute"" Energosetproject""",2015,facility,1,1,Moscow,37.720196,55.78595
"""Institute"" Energosetproject""",2016,facility,0,4,Moscow,37.720196,55.78595
"""Institute"" Energosetproject""",2018,facility,0,1,Moscow,37.720196,55.78595
"""Institute"" Energosetproject""",2020,facility,6,2,Moscow,37.720196,55.78595
"""Institute"" Energosetproject""",2021,facility,1,2,Moscow,37.720196,55.78595
"""Institute"" Energosetproject""",2022,facility,0,1,Moscow,37.720196,55.78595
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2012,facility,4,0,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2013,facility,1,0,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2014,facility,3,2,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2015,facility,5,2,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2016,facility,20,2,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2017,facility,15,14,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2018,facility,15,15,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2019,facility,33,34,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2020,facility,92,66,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2021,facility,101,156,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2022,facility,93,223,Moscow,37.57851,55.75338
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2023,facility,23,149,Moscow,37.57851,55.75338
"""VNIINM"" named after AA Bochvar",2012,facility,44,252,Moscow,37.461613,55.794662
"""VNIINM"" named after AA Bochvar",2013,facility,33,286,Moscow,37.461613,55.794662
"""VNIINM"" named after AA Bochvar",2014,facility,48,360,Moscow,37.461613,55.794662
"""VNIINM"" named after AA Bochvar",2015,facility,53,392,Moscow,37.461613,55.794662
"""VNIINM"" named after AA Bochvar",2016,facility,57,463,Moscow,37.461613,55.794662
"""VNIINM"" named after AA Bochvar",2017,facility,41,440,Moscow,37.461613,55.794662
"""VNIINM"" named after AA Bochvar",2018,facility,51,455,Moscow,37.461613,55.794662
"""VNIINM"" named after AA Bochvar",2019,facility,53,473,Moscow,37.461613,55.794662
"""VNIINM"" named after AA Bochvar",2020,facility,53,583,Moscow,37.461613,55.794662
"""VNIINM"" named after AA Bochvar",2021,facility,50,557,Moscow,37.461613,55.794662
"""VNIINM"" named after AA Bochvar",2022,facility,56,681,Moscow,37.461613,55.794662
"""VNIINM"" named after AA Bochvar",2023,facility,11,366,Moscow,37.461613,55.794662
24th Central Research Institute of the Russian Defence Ministry,NA,facility,NA,NA,Saint Petersburg,29.90144,59.87802
25th State Research Institute of Chemmotology of the Ministry of Defence of the Russian Federation,2012,facility,1,1,Moscow,37.622856,55.777287
25th State Research Institute of Chemmotology of the Ministry of Defence of the Russian Federation,2013,facility,4,1,Moscow,37.622856,55.777287
25th State Research Institute of Chemmotology of the Ministry of Defence of the Russian Federation,2014,facility,9,0,Moscow,37.622856,55.777287
25th State Research Institute of Chemmotology of the Ministry of Defence of the Russian Federation,2015,facility,2,0,Moscow,37.622856,55.777287
25th State Research Institute of Chemmotology of the Ministry of Defence of the Russian Federation,2016,facility,17,0,Moscow,37.622856,55.777287
25th State Research Institute of Chemmotology of the Ministry of Defence of the Russian Federation,2017,facility,2,1,Moscow,37.622856,55.777287
