display_name,year,type,works_count,cited_by_count,city,geometry,region_shp
"""Institute"" Energosetproject""",2012,facility,5,0,Moscow,"c(37.720196, 55.78595)",Moscow City
"""Institute"" Energosetproject""",2015,facility,1,1,Moscow,"c(37.720196, 55.78595)",Moscow City
"""Institute"" Energosetproject""",2016,facility,0,4,Moscow,"c(37.720196, 55.78595)",Moscow City
"""Institute"" Energosetproject""",2018,facility,0,1,Moscow,"c(37.720196, 55.78595)",Moscow City
"""Institute"" Energosetproject""",2020,facility,6,2,Moscow,"c(37.720196, 55.78595)",Moscow City
"""Institute"" Energosetproject""",2021,facility,1,2,Moscow,"c(37.720196, 55.78595)",Moscow City
"""Institute"" Energosetproject""",2022,facility,0,1,Moscow,"c(37.720196, 55.78595)",Moscow City
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2012,facility,3,0,Moscow,"c(37.57851, 55.75338)",Moscow City
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2013,facility,1,0,Moscow,"c(37.57851, 55.75338)",Moscow City
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2014,facility,4,0,Moscow,"c(37.57851, 55.75338)",Moscow City
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2015,facility,10,0,Moscow,"c(37.57851, 55.75338)",Moscow City
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2016,facility,27,2,Moscow,"c(37.57851, 55.75338)",Moscow City
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2017,facility,24,20,Moscow,"c(37.57851, 55.75338)",Moscow City
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2018,facility,19,21,Moscow,"c(37.57851, 55.75338)",Moscow City
"""National Medical Research Center for Rehabilitation and Balneology"" of the Ministry of Health of the Russian Federation",2019,facility,39,50,Moscow,"c(37.57851, 55.75338)",Moscow City
