region_shp,year,type,works_count,cited_by_count,inst_count
Adygey,2012,archive,NA,NA,NA
Adygey,2012,company,NA,NA,NA
Adygey,2012,education,8,25,2
Adygey,2012,facility,NA,NA,NA
Adygey,2012,government,NA,NA,NA
Adygey,2012,healthcare,NA,NA,NA
Adygey,2012,nonprofit,NA,NA,NA
Adygey,2012,other,5,28,1
Adygey,2012,NA,NA,NA,NA
Adygey,2013,archive,NA,NA,NA
Adygey,2013,company,NA,NA,NA
Adygey,2013,education,13,31,2
Adygey,2013,facility,NA,NA,NA
Adygey,2013,government,NA,NA,NA
Adygey,2013,healthcare,NA,NA,NA
Adygey,2013,nonprofit,NA,NA,NA
Adygey,2013,other,5,37,1
Adygey,2013,NA,NA,NA,NA
Adygey,2014,archive,NA,NA,NA
Adygey,2014,company,NA,NA,NA
Adygey,2014,education,11,31,2
Adygey,2014,facility,NA,NA,NA
Adygey,2014,government,NA,NA,NA
Adygey,2014,healthcare,NA,NA,NA
Adygey,2014,nonprofit,NA,NA,NA
Adygey,2014,other,3,41,1
Adygey,2014,NA,NA,NA,NA
Adygey,2015,archive,NA,NA,NA
Adygey,2015,company,NA,NA,NA
Adygey,2015,education,69,45,2
Adygey,2015,facility,NA,NA,NA
Adygey,2015,government,NA,NA,NA
Adygey,2015,healthcare,NA,NA,NA
Adygey,2015,nonprofit,NA,NA,NA
Adygey,2015,other,4,27,1
Adygey,2015,NA,NA,NA,NA
Adygey,2016,archive,NA,NA,NA
Adygey,2016,company,NA,NA,NA
Adygey,2016,education,37,47,2
Adygey,2016,facility,NA,NA,NA
Adygey,2016,government,NA,NA,NA
Adygey,2016,healthcare,NA,NA,NA
Adygey,2016,nonprofit,NA,NA,NA
Adygey,2016,other,4,27,1
Adygey,2016,NA,NA,NA,NA
Adygey,2017,archive,NA,NA,NA
Adygey,2017,company,NA,NA,NA
Adygey,2017,education,41,42,2
Adygey,2017,facility,NA,NA,NA
Adygey,2017,government,NA,NA,NA
Adygey,2017,healthcare,NA,NA,NA
Adygey,2017,nonprofit,NA,NA,NA
Adygey,2017,other,3,26,1
Adygey,2017,NA,NA,NA,NA
Adygey,2018,archive,NA,NA,NA
Adygey,2018,company,NA,NA,NA
Adygey,2018,education,56,49,2
Adygey,2018,facility,NA,NA,NA
Adygey,2018,government,NA,NA,NA
Adygey,2018,healthcare,NA,NA,NA
Adygey,2018,nonprofit,NA,NA,NA
Adygey,2018,other,4,43,1
Adygey,2018,NA,NA,NA,NA
Adygey,2019,archive,NA,NA,NA
Adygey,2019,company,NA,NA,NA
Adygey,2019,education,114,94,2
Adygey,2019,facility,NA,NA,NA
Adygey,2019,government,NA,NA,NA
Adygey,2019,healthcare,NA,NA,NA
Adygey,2019,nonprofit,NA,NA,NA
Adygey,2019,other,3,30,1
Adygey,2019,NA,NA,NA,NA
Adygey,2020,archive,NA,NA,NA
Adygey,2020,company,NA,NA,NA
Adygey,2020,education,187,265,2
Adygey,2020,facility,NA,NA,NA
Adygey,2020,government,NA,NA,NA
Adygey,2020,healthcare,NA,NA,NA
Adygey,2020,nonprofit,NA,NA,NA
Adygey,2020,other,9,48,1
Adygey,2020,NA,NA,NA,NA
Adygey,2021,archive,NA,NA,NA
Adygey,2021,company,NA,NA,NA
Adygey,2021,education,257,454,2
Adygey,2021,facility,NA,NA,NA
Adygey,2021,government,NA,NA,NA
Adygey,2021,healthcare,NA,NA,NA
Adygey,2021,nonprofit,NA,NA,NA
Adygey,2021,other,6,67,1
Adygey,2021,NA,NA,NA,NA
Adygey,2022,archive,NA,NA,NA
Adygey,2022,company,NA,NA,NA
Adygey,2022,education,276,426,2
Adygey,2022,facility,NA,NA,NA
Adygey,2022,government,NA,NA,NA
Adygey,2022,healthcare,NA,NA,NA
Adygey,2022,nonprofit,NA,NA,NA
Adygey,2022,other,9,89,1
Adygey,2022,NA,NA,NA,NA
Adygey,2023,archive,NA,NA,NA
Adygey,2023,company,NA,NA,NA
Adygey,2023,education,228,541,2
Adygey,2023,facility,NA,NA,NA
Adygey,2023,government,NA,NA,NA
Adygey,2023,healthcare,NA,NA,NA
Adygey,2023,nonprofit,NA,NA,NA
Adygey,2023,other,6,63,1
Adygey,2023,NA,NA,NA,NA
Adygey,2024,archive,NA,NA,NA
Adygey,2024,company,NA,NA,NA
Adygey,2024,education,56,177,2
Adygey,2024,facility,NA,NA,NA
Adygey,2024,government,NA,NA,NA
Adygey,2024,healthcare,NA,NA,NA
Adygey,2024,nonprofit,NA,NA,NA
Adygey,2024,other,0,29,1
Adygey,2024,NA,NA,NA,NA
Adygey,NA,archive,NA,NA,NA
Adygey,NA,company,NA,NA,NA
Adygey,NA,education,NA,NA,NA
Adygey,NA,facility,NA,NA,NA
Adygey,NA,government,NA,NA,NA
Adygey,NA,healthcare,NA,NA,NA
Adygey,NA,nonprofit,NA,NA,NA
Adygey,NA,other,NA,NA,NA
Adygey,NA,NA,NA,NA,NA
Altay,2012,archive,NA,NA,NA
Altay,2012,company,NA,NA,NA
Altay,2012,education,122,498,8
Altay,2012,facility,0,9,1
Altay,2012,government,NA,NA,NA
Altay,2012,healthcare,9,0,2
Altay,2012,nonprofit,NA,NA,NA
Altay,2012,other,1,0,1
Altay,2012,NA,NA,NA,NA
Altay,2013,archive,NA,NA,NA
Altay,2013,company,NA,NA,NA
Altay,2013,education,163,609,8
Altay,2013,facility,1,11,1
Altay,2013,government,NA,NA,NA
Altay,2013,healthcare,7,0,1
Altay,2013,nonprofit,NA,NA,NA
Altay,2013,other,2,1,1
Altay,2013,NA,NA,NA,NA
Altay,2014,archive,NA,NA,NA
Altay,2014,company,NA,NA,NA
Altay,2014,education,192,659,8
Altay,2014,facility,2,7,2
Altay,2014,government,NA,NA,NA
Altay,2014,healthcare,5,1,2
Altay,2014,nonprofit,NA,NA,NA
Altay,2014,other,NA,NA,NA
Altay,2014,NA,NA,NA,NA
Altay,2015,archive,NA,NA,NA
Altay,2015,company,NA,NA,NA
Altay,2015,education,365,779,8
Altay,2015,facility,9,6,2
Altay,2015,government,NA,NA,NA
Altay,2015,healthcare,13,2,2
Altay,2015,nonprofit,NA,NA,NA
Altay,2015,other,NA,NA,NA
Altay,2015,NA,NA,NA,NA
Altay,2016,archive,NA,NA,NA
Altay,2016,company,NA,NA,NA
Altay,2016,education,409,1103,8
Altay,2016,facility,9,11,1
Altay,2016,government,NA,NA,NA
Altay,2016,healthcare,10,16,2
Altay,2016,nonprofit,NA,NA,NA
Altay,2016,other,0,1,1
Altay,2016,NA,NA,NA,NA
Altay,2017,archive,NA,NA,NA
Altay,2017,company,NA,NA,NA
Altay,2017,education,511,1336,8
Altay,2017,facility,3,8,1
Altay,2017,government,NA,NA,NA
Altay,2017,healthcare,12,21,2
Altay,2017,nonprofit,NA,NA,NA
Altay,2017,other,NA,NA,NA
Altay,2017,NA,NA,NA,NA
Altay,2018,archive,NA,NA,NA
Altay,2018,company,NA,NA,NA
Altay,2018,education,758,1988,8
Altay,2018,facility,9,10,2
Altay,2018,government,NA,NA,NA
Altay,2018,healthcare,19,28,2
Altay,2018,nonprofit,NA,NA,NA
Altay,2018,other,5,1,1
Altay,2018,NA,NA,NA,NA
Altay,2019,archive,NA,NA,NA
Altay,2019,company,NA,NA,NA
Altay,2019,education,1115,3661,8
Altay,2019,facility,15,12,2
Altay,2019,government,NA,NA,NA
Altay,2019,healthcare,21,71,2
Altay,2019,nonprofit,NA,NA,NA
Altay,2019,other,15,20,1
Altay,2019,NA,NA,NA,NA
Altay,2020,archive,NA,NA,NA
Altay,2020,company,NA,NA,NA
Altay,2020,education,1122,5268,8
Altay,2020,facility,16,16,2
Altay,2020,government,NA,NA,NA
Altay,2020,healthcare,20,186,2
Altay,2020,nonprofit,NA,NA,NA
Altay,2020,other,13,74,1
Altay,2020,NA,NA,NA,NA
Altay,2021,archive,NA,NA,NA
